?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
   326	(('dépositaire', 'autorité'), ['personne', 'de', "l'", 'publique'])	{'obl:arg - L': [('fr-ud-train_03680', 18, 21)], 'nmod - L': [('fr-ud-train_03390', 34, 37)]}
   327	(('les', 'grands'), ['de', 0, 0, 'lacs'])	{'NIL': [('fr-ud-train_01011', '19', '20')], 'det - R': [('fr-ud-train_09461', 6, 7)]}
   328	(('rencontrèrent', 'tête'), ['ingéniosité', 'autant', 'la', 'de'])	{'NIL': [('fr-ud-train_03410', '9', '22')], 'obl:mod - L': [('fr-ud-train_03410', 9, 15)]}
   329	(('autant', 'tête'), ['rencontrèrent', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_03410', '10', '15')], 'ccomp:obj - L': [('fr-ud-train_03410', 10, 22)]}
   330	(('équipe', 'moins'), ["l'", 'nationale', 'les', 'de'])	{'NIL': [('fr-ud-train_03413', '6', '21')], 'nmod - L': [('fr-ud-train_03413', 6, 11)]}
   331	(('adjoint', 'maire'), ['élu', 'à', 'le', 'de'])	{'NIL': [('fr-ud-train_03440', '7', '19')], 'nmod - L': [('fr-ud-train_03440', 7, 10)]}
   332	(('lundi', 'vendredi'), ['le', 'à', 'le', ','])	{'NIL': [('fr-ud-train_07192', '60', '63')], 'nmod - L': [('fr-ud-train_03443', 6, 9)]}
   333	(('remporté', 'championnats'), ['a', 'la', 'les', 'de'])	{'NIL': [('fr-ud-train_06772', '25', '44')], 'obj - L': [('fr-ud-train_06772', 25, 30)]}
   334	(('diffusion', '16:30'), [0, ':', 'à', '.'])	{'NIL': [('fr-ud-train_04041', '1', '10')], 'nmod - L': [('fr-ud-train_03504', 1, 10)]}
   335	(('il', 'centre'), [0, 'est', 'le', "d'"])	{'NIL': [('fr-ud-train_06216', '1', '28')], 'nsubj - R': [('fr-ud-train_03534', 1, 5)]}
   336	(('espèce', 'seule'), ['une', "d'", 'la', 'de'])	{'conj - L': [('fr-ud-train_07050', 12, 23)], 'appos - L': [('fr-ud-train_03547', 5, 17), ('fr-ud-train_06515', 5, 17)]}
   337	(('signé', 'président'), ['été', 'par', 'le', 'de'])	{'NIL': [('fr-ud-train_03573', '24', '35')], 'obl:agent - L': [('fr-ud-train_03573', 24, 27)]}
   338	(('président', 'président'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_05399', '35', '43')], 'conj - L': [('fr-ud-train_03573', 27, 35)]}
   339	(('intérêt', 'maghreb'), ["l'", 'de', 'le', ','])	{'NIL': [('fr-ud-train_03576', '3', '38')], 'nmod - L': [('fr-ud-train_03576', 3, 8)]}
   340	(('ohio', 'états-unis'), ["l'", ',', 'les', '.'])	{'NIL': [('fr-ud-train_09769', '19', '23')], 'nmod - L': [('fr-ud-train_03599', 23, 27)]}
   341	(('faisceau', 'plexus'), ['le', 'latéral', 'le', 'brachial'])	{'NIL': [('fr-ud-train_03609', '7', '33')], 'nmod - L': [('fr-ud-train_03609', 7, 11)]}
   342	(('issu', 'tronc'), ['brachial', 'de', 'le', 'antérieur'])	{'NIL': [('fr-ud-train_03609', '13', '25')], 'obl:arg - L': [('fr-ud-train_03609', 13, 16)]}
   343	(('insecte', 'famille'), ['un', 'lépidoptère', 'la', 'de'])	{'NIL': [('fr-ud-train_06945', '5', '10'), ('fr-ud-train_07746', '5', '10')], 'nmod - L': [('fr-ud-train_03693', 17, 21)]}
   344	(('compétences', 'gestion'), ['les', 'optionnelles', 'de', 'de'])	{'NIL': [('fr-ud-train_03712', '10', '35')], 'nmod - L': [('fr-ud-train_03712', 10, 13)]}
   345	(('être', 'honneur'), ['pourrait', 'en', "l'", 'de'])	{'NIL': [('fr-ud-train_03727', '3', '24')], 'obl:mod - L': [('fr-ud-train_03727', 3, 6)]}
   346	(('mer', 'océan'), ['la', 'de', "l'", 'pacifique'])	{'NIL': [('fr-ud-train_04983', '9', '39'), ('fr-ud-train_04983', '19', '39'), ('fr-ud-train_04983', '28', '39')], 'conj - L': [('fr-ud-train_03738', 18, 25)]}
   347	(('océan', 'pacifique'), ["l'", 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_13693', 62, 63)], 'amod - L': [('fr-ud-train_03738', 25, 26), ('fr-ud-train_04983', 39, 40), ('fr-ud-train_06526', 23, 24), ('fr-ud-train_11000', 17, 18)]}
   348	(('château', 'château'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_09987', '19', '28')], 'conj - L': [('fr-ud-train_05617', 7, 17), ('fr-ud-train_05617', 7, 22)]}
   349	(('compagnie', 'baie'), ['la', 'de', 'la', "d'"])	{'NIL': [('fr-ud-train_03864', '2', '30')], 'nmod - L': [('fr-ud-train_03864', 2, 5)]}
   350	(('homme', 'membre'), ['un', 'politique', ',', 'de'])	{'conj - L': [('fr-ud-train_12836', 14, 18)], 'appos - L': [('fr-ud-train_03974', 17, 21)]}
   351	(('équipe', 'îles'), ["l'", 'de', 'les', 'vierges'])	{'NIL': [('fr-ud-train_04008', '2', '28')], 'nmod - L': [('fr-ud-train_04008', 2, 5)]}
   352	(('fédération', 'amapá'), ['la', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_04009', '2', '46')], 'nmod - L': [('fr-ud-train_04009', 2, 5)]}
   353	(('partie', 'nord'), ['la', 0, 0, 'de'])	{'amod - L': [('fr-ud-train_09171', 4, 5)], 'nmod - L': [('fr-ud-train_07759', 16, 17)]}
   354	(('partie', 'parc'), ['une', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_10205', '2', '48')], 'nmod - L': [('fr-ud-train_04014', 8, 11)]}
   355	(("n'", 'tiré'), ['ils', 'ont', 'pas', 'à'])	{'NIL': [('fr-ud-train_04022', '9', '22')], 'advmod - R': [('fr-ud-train_04022', 19, 22)]}
   356	(('sauriens', 'famille'), ['de', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_00653', '7', '10'), ('fr-ud-train_08479', '7', '10'), ('fr-ud-train_10883', '7', '10'), ('fr-ud-train_11025', '6', '9'), ('fr-ud-train_12431', '7', '10')], 'nmod - L': [('fr-ud-train_04077', 7, 10)]}
   357	(('nord', 'province'), ['le', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_10768', '7', '13')], 'nmod - L': [('fr-ud-train_04103', 12, 15)]}
   358	(('titre', 'exemple'), ['à', "d'", 0, ','])	{'NIL': [('fr-ud-train_05729', '5', '7')], 'nmod - L': [('fr-ud-train_04112', 14, 16), ('fr-ud-train_08236', 28, 30)]}
   359	(('nord', 'sud'), ['le', 'et', 'le', '.'])	{'NIL': [('fr-ud-train_01485', '9', '17')], 'conj - L': [('fr-ud-train_07676', 12, 16)]}
   360	(('nord', 'sud'), ['le', 'à', 'le', ','])	{'NIL': [('fr-ud-train_12163', '11', '16')], 'nmod - L': [('fr-ud-train_06751', 20, 23)]}
   361	(('haye', 'pays-bas'), ['la', '(', 0, ')'])	{'nmod - L': [('fr-ud-train_04838', 12, 14)], 'appos - L': [('fr-ud-train_04172', 14, 16)]}
   362	(('mère', 'vivait'), ['sa', ',', 'elle', 'grâce'])	{'conj - L': [('fr-ud-train_04198', 8, 39)], 'obl:mod - R': [('fr-ud-train_04198', 36, 39)]}
   363	(('village', 'municipalité'), ['un', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_02338', '11', '17'), ('fr-ud-train_07643', '11', '17'), ('fr-ud-train_13249', '9', '22'), ('fr-ud-train_13283', '11', '17'), ('fr-ud-train_14346', '11', '17')], 'nmod - L': [('fr-ud-train_04243', 13, 23), ('fr-ud-train_05910', 11, 21), ('fr-ud-train_12171', 13, 23)]}
   364	(('tennis', 'féminin'), ['de', 'professionnel', 0, 'open'])	{'NIL': [('fr-ud-train_05144', '11', '13')], 'amod - L': [('fr-ud-train_04266', 11, 13)]}
   365	(('village', 'tchéquie'), ['un', 'de', 'en', '.'])	{'NIL': [('fr-ud-train_06415', '4', '14'), ('fr-ud-train_11284', '4', '17')], 'nmod - L': [('fr-ud-train_04280', 4, 18)]}
   366	(('plan', 'marshall'), ['le', 0, 0, '.'])	{'appos - L': [('fr-ud-train_13933', 23, 24)], 'flat:name - L': [('fr-ud-train_04348', 22, 23)]}
   367	(('croisettes', '3'), ['sept', 'de', ',', 'à'])	{'NIL': [('fr-ud-train_04360', '28', '37')], 'appos - L': [('fr-ud-train_04360', 28, 33)]}
   368	(('situés', 'rue'), [',', 'entre', 'la', 'de'])	{'NIL': [('fr-ud-train_04397', '17', '26')], 'obl:mod - L': [('fr-ud-train_04397', 17, 20)]}
   369	(('taux', 'tique'), ['le', 'de', 'la', 'est'])	{'NIL': [('fr-ud-train_04463', '2', '13')], 'nmod - L': [('fr-ud-train_04463', 2, 8)]}
   370	(('elle', 'était'), ["qu'", 0, 0, 'en'])	{'NIL': [('fr-ud-train_13083', '6', '7')], 'nsubj - R': [('fr-ud-train_04471', 19, 20)]}
   371	(('garder', 'esprit'), ['faut', 'à', "l'", 'que'])	{'obl:arg - L': [('fr-ud-train_13892', 6, 9)], 'obl:mod - L': [('fr-ud-train_04482', 4, 7)]}
   372	(('laboratoire', 'paris'), ['le', 'de', 'de', ','])	{'NIL': [('fr-ud-train_04491', '2', '23')], 'nmod - L': [('fr-ud-train_04491', 2, 7)]}
   373	(('fin', 'époque'), ['la', 'de', "l'", 'de'])	{'conj - L': [('fr-ud-train_14544', 3, 10)], 'nmod - L': [('fr-ud-train_06416', 32, 35)]}
   374	(('situation', 'êtes'), [0, 'idéale', 'vous', 'à'])	{'NIL': [('fr-ud-train_04582', '1', '37')], 'parataxis - L': [('fr-ud-train_04582', 1, 8)]}
   375	(('fin', 'années'), ['la', 'de', 'les', '1940'])	{'NIL': [('fr-ud-train_13135', '15', '26')], 'nmod - L': [('fr-ud-train_13005', 65, 68)]}
   376	(('je', 'suis'), [0, 0, 0, 'une'])	{'NIL': [('fr-ud-train_04169', '1', '2')], 'nsubj - R': [('fr-ud-train_08367', 1, 2)]}
   377	(('données', 'résultats'), ['les', 'connues', 'les', 'de'])	{'NIL': [('fr-ud-train_04637', '17', '44')], 'nmod - L': [('fr-ud-train_04637', 17, 23)]}
   378	(('côté', 'pont'), ['chaque', 'de', 'le', '.'])	{'NIL': [('fr-ud-train_04647', '27', '48')], 'nmod - L': [('fr-ud-train_12010', 16, 19)]}
   379	(('mention', 'écrite'), ['première', 0, 0, 'de'])	{'acl - L': [('fr-ud-train_07284', 3, 4), ('fr-ud-train_11230', 2, 3), ('fr-ud-train_13760', 2, 3)], 'nsubj:pass - R': [('fr-ud-train_04663', 2, 3)]}
   380	(('écrite', 'village'), ['mention', 'de', 'le', 'en'])	{'NIL': [('fr-ud-train_11230', '3', '6'), ('fr-ud-train_13760', '3', '6')], 'obl:mod - L': [('fr-ud-train_04663', 3, 6)]}
   381	(('endémique', 'province'), ['est', 'de', 'la', 'de'])	{'obl:mod - L': [('fr-ud-train_10768', 4, 13)], 'obl:arg - L': [('fr-ud-train_04676', 4, 7)]}
   382	(('espèces', 'famille'), ['plusieurs', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_10202', '18', '33')], 'nmod - L': [('fr-ud-train_04677', 16, 21)]}
   383	(('croissance', 'profit'), ['la', 'de', 'le', 'maximum'])	{'NIL': [('fr-ud-train_04715', '6', '30')], 'conj - L': [('fr-ud-train_04715', 6, 23)]}
   384	(('de', 'statut'), ['pas', 0, 0, 'de'])	{'case - R': [('fr-ud-train_13359', 2, 3)], 'det - R': [('fr-ud-train_13289', 2, 3)]}
   385	(('produit', 'analyseur'), ['un', 'à', 'un', 'de'])	{'NIL': [('fr-ud-train_04745', '8', '25')], 'appos - L': [('fr-ud-train_04745', 8, 14)]}
   386	(('mort', 'cousin'), ['la', 'de', 'son', 'à'])	{'NIL': [('fr-ud-train_05491', '3', '17')], 'nmod - L': [('fr-ud-train_04762', 31, 34)]}
   387	(('alimente', 'bobinage'), ['on', 'en', 'le', 'de'])	{'NIL': [('fr-ud-train_04803', '2', '29')], 'obj - L': [('fr-ud-train_04803', 2, 6)]}
   388	(('venir', 'colonne'), ['de', 'derrière', 'la', 'de'])	{'NIL': [('fr-ud-train_04831', '39', '47')], 'obl:mod - L': [('fr-ud-train_04831', 39, 42)]}
   389	(('feuilleton', 'transfert'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_04914', '8', '45')], 'nmod - L': [('fr-ud-train_04914', 8, 11)]}
   390	(('arrondissement', 'département'), ["l'", 'de', 'le', 'de'])	{'nmod - L': [('fr-ud-train_06567', 7, 12)], 'conj - L': [('fr-ud-train_04932', 19, 24)], 'NIL': [('fr-ud-train_07529', '2', '13')]}
   391	(('est', 'sud'), ["l'", 'et', 'le', '.'])	{'NIL': [('fr-ud-train_12420', '15', '29')], 'conj - L': [('fr-ud-train_13715', 32, 36)]}
   392	(('bordé', 'mer'), ['est', 'à', 'la', 'de'])	{'NIL': [('fr-ud-train_04983', '3', '19'), ('fr-ud-train_04983', '3', '28')], 'obl:agent - L': [('fr-ud-train_04983', 3, 9)]}
   393	(('ouest', 'mer'), ["l'", 'par', 'la', 'de'])	{'NIL': [('fr-ud-train_04983', '16', '28')], 'orphan - L': [('fr-ud-train_04983', 16, 19)]}
   394	(('droit', 'croates'), ['le', 'de', 'les', 'à'])	{'NIL': [('fr-ud-train_05134', '18', '30')], 'nmod - L': [('fr-ud-train_05134', 18, 21)]}
   395	(('tournoi', 'féminin'), ['le', 'de', 'professionnel', 'open'])	{'NIL': [('fr-ud-train_04266', '9', '13')], 'amod - L': [('fr-ud-train_05144', 9, 13)]}
   396	(('nom', 'nom'), ['le', 'de', 'le', "d'"])	{'NIL': [('fr-ud-train_04494', '13', '32'), ('fr-ud-train_12937', '6', '13')], 'conj - L': [('fr-ud-train_05213', 29, 43)]}
   397	(('levon', 'points'), [',', 'aronian', '6', ')'])	{'NIL': [('fr-ud-train_05216', '45', '56'), ('fr-ud-train_05216', '45', '63')], 'nmod - L': [('fr-ud-train_05216', 45, 49)]}
   398	(('viswanathan', 'points'), [',', 'anand', '6', ')'])	{'NIL': [('fr-ud-train_05216', '52', '63')], 'nmod - L': [('fr-ud-train_05216', 52, 56)]}
   399	(('finir', 'fin'), ['de', 'ces', 'la', 'de'])	{'NIL': [('fr-ud-train_05325', '7', '37')], 'obl:mod - L': [('fr-ud-train_05325', 7, 13)]}
   400	(('conseil', 'droits'), ['le', 'de', 'les', 'de'])	{'NIL': [('fr-ud-train_00066', '34', '52'), ('fr-ud-train_03245', '30', '66'), ('fr-ud-train_10530', '14', '33')], 'nmod - L': [('fr-ud-train_05440', 10, 13)]}
   401	(('antarctic', 'fondé'), ["l'", 'heritage', '(', 'en'])	{'NIL': [('fr-ud-train_05487', '10', '29')], 'acl - L': [('fr-ud-train_05487', 10, 18)]}
   402	(('indépendance', 'sahara'), ["l'", 'de', 'le', 'occidental'])	{'NIL': [('fr-ud-train_08928', '35', '58')], 'nmod - L': [('fr-ud-train_05496', 39, 42)]}
   403	(('fille', 'mère'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_02280', '13', '36')], 'acl:relcl - L': [('fr-ud-train_05509', 10, 21)]}
   404	(('îles', 'loyauté'), ['les', 0, 0, '.'])	{'appos - L': [('fr-ud-train_14497', 27, 28)], 'flat:name - L': [('fr-ud-train_06482', 38, 39)]}
   405	(('autorisation', 'installer'), [0, 'leur', "s'", 'dans'])	{'NIL': [('fr-ud-train_05721', '1', '17')], 'acl - L': [('fr-ud-train_05721', 1, 7)]}
   406	(('à', 'exemple'), [',', 'titre', "d'", ','])	{'NIL': [('fr-ud-train_04112', '13', '16'), ('fr-ud-train_08236', '27', '30')], 'obl:arg - L': [('fr-ud-train_05729', 4, 7)]}
   407	(('fermeture', 'gare'), ['la', 'de', 'la', 'de'])	{'nmod - L': [('fr-ud-train_05758', 12, 15)], 'obl:mod - R': [('fr-ud-train_05758', 12, 23)]}
   408	(('allume', 'sont'), ['des', 'barbecues', 'usage', 'à'])	{'NIL': [('fr-ud-train_05786', '29', '37')], 'nsubj - R': [('fr-ud-train_05786', 2, 37)]}
   409	(('elle', 'caractérisée'), [0, 'est', 0, 'par'])	{'nsubj - R': [('fr-ud-train_11715', 1, 3)], 'nsubj:pass - R': [('fr-ud-train_05867', 1, 3)]}
   410	(('est', 'caractérisée'), ['elle', 0, 0, 'par'])	{'aux:tense - R': [('fr-ud-train_11715', 2, 3)], 'aux:pass - R': [('fr-ud-train_05867', 2, 3)]}
   411	(('cosmonautes', 'station'), ['les', 'de', 'la', 'spatiale'])	{'NIL': [('fr-ud-train_05941', '25', '42')], 'nmod - L': [('fr-ud-train_05941', 25, 28)]}
   412	(('effectuer', 'station'), ['pour', 'les', 'la', 'spatiale'])	{'NIL': [('fr-ud-train_05941', '19', '28')], 'conj - L': [('fr-ud-train_05941', 19, 42)]}
   413	(('racing', 'club'), ['le', 0, 0, 'de'])	{'appos - L': [('fr-ud-train_12643', 21, 22)], 'flat:name - L': [('fr-ud-train_05945', 13, 14)]}
   414	(('parcourir', 'aide'), ['ou', 'la', "l'", "d'"])	{'NIL': [('fr-ud-train_06024', '47', '66')], 'obl:mod - L': [('fr-ud-train_06024', 47, 52)]}
   415	(('apparentes', 'parle'), ['être', 'ou', 'on', 'de'])	{'NIL': [('fr-ud-train_06044', '8', '26')], 'conj - L': [('fr-ud-train_06044', 8, 16)]}
   416	(('est', 'toutefois'), ["n'", 0, 0, 'pas'])	{'NIL': [('fr-ud-train_02805', '3', '4')], 'advmod - L': [('fr-ud-train_06106', 7, 8)]}
   417	(('société', '1827'), ['la', 'sigma', '(', ')'])	{'NIL': [('fr-ud-train_06114', '21', '44')], 'nmod - L': [('fr-ud-train_06114', 21, 38)]}
   418	(('commun', 'églises'), ['en', 'avec', 'autres', ','])	{'NIL': [('fr-ud-train_06152', '5', '34')], 'nmod - L': [('fr-ud-train_06152', 5, 9)]}
   419	(('église', 'france'), ['une', 'située', 'en', '.'])	{'NIL': [('fr-ud-train_10582', '6', '12'), ('fr-ud-train_13094', '8', '14')], 'nmod - L': [('fr-ud-train_12766', 8, 14)]}
   420	(('membres', 'groupe'), ['les', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_10704', '6', '16')], 'nmod - L': [('fr-ud-train_06179', 10, 13)]}
   421	(('à', 'fort'), [',', 'le', 'plus', 'de'])	{'fixed - L': [('fr-ud-train_14504', 15, 18)], 'case - R': [('fr-ud-train_07116', 28, 31)]}
   422	(('michel', 'observatoire'), ['par', 'giacobini', '(', 'de'])	{'NIL': [('fr-ud-train_06219', '22', '39')], 'appos - L': [('fr-ud-train_06219', 22, 25)]}
   423	(('démocratie', 'droits'), ['la', ',', 'les', 'de'])	{'NIL': [('fr-ud-train_13147', '26', '33')], 'conj - L': [('fr-ud-train_06245', 16, 20)]}
   424	(('années', 'réalisation'), ['les', '1960', 'la', 'de'])	{'NIL': [('fr-ud-train_06274', '16', '33')], 'nmod - L': [('fr-ud-train_06274', 16, 22)]}
   425	(('pris', 'réalisation'), ['a', 'son', 'la', 'de'])	{'NIL': [('fr-ud-train_06274', '11', '22')], 'obl:mod - L': [('fr-ud-train_06274', 11, 33)]}
   426	(('allant', 'mois'), ['période', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_06310', '6', '15')], 'obl:arg - L': [('fr-ud-train_06310', 6, 9)]}
   427	(('il', 'composé'), [0, 'est', 0, 'de'])	{'nsubj:pass - R': [('fr-ud-train_09696', 1, 3)], 'nsubj - R': [('fr-ud-train_08187', 1, 3)]}
   428	(('kappa', '€'), ['avec', '(', 'm', '/'])	{'NIL': [('fr-ud-train_06348', '19', '37')], 'nmod - L': [('fr-ud-train_06348', 19, 23)]}
   429	(('ajoutées', 'heures'), ['sont', 'à', '24', 'de'])	{'NIL': [('fr-ud-train_06385', '8', '25')], 'obl:mod - L': [('fr-ud-train_06385', 8, 17)]}
   430	(('trophée', 'nations'), ['le', 'européen', 'les', 'de'])	{'NIL': [('fr-ud-train_06391', '2', '19')], 'nmod - L': [('fr-ud-train_06391', 2, 7)]}
   431	(('confondue', 'effet'), ['être', 'avec', "l'", 'photoélectrique'])	{'NIL': [('fr-ud-train_06401', '8', '79')], 'obl:arg - L': [('fr-ud-train_06401', 8, 11)]}
   432	(('conversion', 'transfert'), ['la', 'interne', 'un', 'direct'])	{'NIL': [('fr-ud-train_06401', '2', '71')], 'nsubj - R': [('fr-ud-train_06401', 67, 71)]}
   433	(('radic', 'carnie'), ['"', 'di', 'la', 'et'])	{'NIL': [('fr-ud-train_06464', '46', '162')], 'nmod - L': [('fr-ud-train_06464', 46, 52)]}
   434	(('jambons', 'san'), ['les', 'crus', 'de', 'daniele'])	{'NIL': [('fr-ud-train_06464', '65', '165')], 'nmod - L': [('fr-ud-train_06464', 65, 68)]}
   435	(('carnie', 'san'), ['la', 'et', 'de', 'daniele'])	{'NIL': [('fr-ud-train_06464', '52', '68')], 'conj - L': [('fr-ud-train_06464', 162, 165)]}
   436	(('sortes', 'triestine'), ['toutes', 'de', 'la', ','])	{'NIL': [('fr-ud-train_06464', '219', '298')], 'nmod - L': [('fr-ud-train_06464', 219, 224)]}
   437	(('et', 'résiane'), ['gorizienne', 'à', 'la', ','])	{'NIL': [('fr-ud-train_06464', '229', '306')], 'cc - R': [('fr-ud-train_06464', 303, 306)]}
   438	(('est', 'aussi'), ['il', 0, 0, 'à'])	{'NIL': [('fr-ud-train_00148', '2', '3'), ('fr-ud-train_07210', '2', '3')], 'advmod - L': [('fr-ud-train_06466', 2, 3)]}
   439	(('onu', 'ue'), ["l'", ',', "l'", 'et'])	{'NIL': [('fr-ud-train_12176', '12', '16')], 'conj - L': [('fr-ud-train_06469', 37, 41)]}
   440	(('ville', 'nord'), ['une', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_00275', '4', '13'), ('fr-ud-train_04883', '4', '20')], 'nmod - L': [('fr-ud-train_06492', 4, 7)]}
   441	(('championnats', 'auckland'), ['les', 'régionaux', "d'", 'en'])	{'NIL': [('fr-ud-train_06726', '17', '34')], 'nmod - L': [('fr-ud-train_06726', 17, 20)]}
   442	(('saison', 'série'), ['deuxième', 'de', 'la', 'télévisée'])	{'NIL': [('fr-ud-train_13020', '9', '12')], 'nmod - L': [('fr-ud-train_06758', 9, 12)]}
   443	(('différence', 'nombre'), ['la', 'entre', 'le', 'de'])	{'NIL': [('fr-ud-train_06811', '9', '17'), ('fr-ud-train_13856', '9', '17')], 'nmod - L': [('fr-ud-train_06811', 9, 12), ('fr-ud-train_13856', 9, 12)]}
   444	(('spécialiste', 'lancer'), [',', 'de', 'le', 'de'])	{'obl:arg - L': [('fr-ud-train_07026', 15, 18)], 'nmod - L': [('fr-ud-train_06877', 28, 31)]}
   445	(('connue', 'race'), ['reste', 'en', '«', 'de'])	{'NIL': [('fr-ud-train_06961', '14', '27'), ('fr-ud-train_06961', '14', '34'), ('fr-ud-train_06961', '14', '43')], 'obl:mod - L': [('fr-ud-train_06961', 14, 20)]}
   446	(('noter', 'association'), ['peut', 'ainsi', "l'", '"'])	{'NIL': [('fr-ud-train_07000', '3', '24')], 'obj - L': [('fr-ud-train_07000', 3, 6)]}
   447	(('sud', 'nord'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_03097', '10', '19')], 'conj - L': [('fr-ud-train_07030', 15, 22)]}
   448	(('famille', 'famille'), ['la', 'de', 'une', 'de'])	{'nsubj - R': [('fr-ud-train_12173', 2, 8)], 'appos - L': [('fr-ud-train_09727', 9, 14)]}
   449	(('général', 'de'), ['le', 0, 0, 'gaulle'])	{'flat:name - L': [('fr-ud-train_08517', 21, 22)], 'appos - L': [('fr-ud-train_07113', 6, 7)]}
   450	(('pionniers', 'étude'), ['les', 'dans', "l'", 'de'])	{'NIL': [('fr-ud-train_07117', '7', '29')], 'nmod - L': [('fr-ud-train_07117', 7, 10)]}
   451	(('passant', 'bus'), ['fréquence', "d'", 'un', 'toutes'])	{'NIL': [('fr-ud-train_07192', '104', '115')], 'obl:arg - L': [('fr-ud-train_07192', 104, 107)]}
   452	(('toutes', 'minutes'), ['bus', 'les', '4', '.'])	{'NIL': [('fr-ud-train_07192', '108', '119')], 'amod - R': [('fr-ud-train_07192', 116, 119)]}
   453	(('mention', 'village'), ['première', 'écrite', 'le', 'en'])	{'NIL': [('fr-ud-train_04663', '2', '6')], 'nmod - L': [('fr-ud-train_11230', 2, 6), ('fr-ud-train_13760', 2, 6)]}
   454	(('était', 'composée'), [',', 0, 0, 'de'])	{'aux:pass - R': [('fr-ud-train_11113', 22, 23)], 'aux:tense - R': [('fr-ud-train_07299', 19, 20)]}
   455	(('département', 'france'), ['le', 'de', 'en', '.'])	{'NIL': [('fr-ud-train_08421', '22', '28'), ('fr-ud-train_12899', '15', '21')], 'conj - L': [('fr-ud-train_12531', 12, 23)]}
   456	(('romain', 'ps'), ['général', 'colas', '(', ')'])	{'NIL': [('fr-ud-train_07612', '19', '48')], 'appos - L': [('fr-ud-train_07612', 19, 22)]}
   457	(('château', 'commune'), ['le', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_05369', '18', '29'), ('fr-ud-train_09189', '2', '15'), ('fr-ud-train_11634', '2', '14'), ('fr-ud-train_13396', '2', '9'), ('fr-ud-train_14340', '2', '9')], 'nmod - L': [('fr-ud-train_07723', 28, 34)]}
   458	(('crash', 'mont'), ['le', 'de', 'le', 'sainte-odile'])	{'NIL': [('fr-ud-train_07843', '2', '69')], 'nmod - L': [('fr-ud-train_07843', 2, 5)]}
   459	(('versant', 'sud'), ['le', 0, 0, 'de'])	{'nmod - L': [('fr-ud-train_08102', 15, 16)], 'amod - L': [('fr-ud-train_07847', 8, 9)]}
   460	(('concentre', 'arrondissement'), ['se', 'principalement', "l'", 'de'])	{'NIL': [('fr-ud-train_07867', '4', '41')], 'obl:mod - L': [('fr-ud-train_07867', 4, 8)]}
   461	(('première', 'échelle'), ['la', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_01211', '4', '10')], 'nmod - L': [('fr-ud-train_07982', 4, 10)]}
   462	(('qix', 'rivière'), ['les', 'de', 'la', ','])	{'NIL': [('fr-ud-train_01211', '13', '16')], 'nmod - L': [('fr-ud-train_07982', 13, 16)]}
   463	(('hausse', 'parvient'), ['la', 'de', 'ne', 'pas'])	{'NIL': [('fr-ud-train_08211', '20', '54')], 'nsubj - R': [('fr-ud-train_08211', 46, 54)]}
   464	(('eu', 'cours'), ['ont', 'lieu', 'le', 'de'])	{'NIL': [('fr-ud-train_08266', '12', '26')], 'obl:mod - L': [('fr-ud-train_08266', 12, 16)]}
   465	(('cours', 'cours'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_04142', '3', '21')], 'conj - L': [('fr-ud-train_08266', 16, 26)]}
